Date,Daily New Connecting Account,Daily Peak Concurrent User,Daily Unique Visitor,Daily Unique Purchaser,Daily Revenue (USD),ARPPU (USD),ARPU (USD),Daily Revenue (BRL),Exchange Rate
"Wednesday, February 28, 2018",336,10242,3285,61,3700.13,60.66,1.13,12001,3.2434
"Tuesday, February 27, 2018",317,9388,3556,61,3732.24,61.18,1.05,12085,3.238
"Monday, February 26, 2018",302,9978,3600,56,2852.46,50.94,0.79,9228,3.2351
"Sunday, February 25, 2018",340,10499,3692,59,2490.05,42.2,0.67,8073,3.2421
"Saturday, February 24, 2018",369,10249,3564,62,4160.57,67.11,1.17,13489,3.2421
"Friday, February 23, 2018",325,10069,3553,40,3212.12,80.3,0.9,10414,3.2421
"Thursday, February 22, 2018",344,9987,3606,60,3585.69,59.76,0.99,11727,3.2705
"Wednesday, February 21, 2018",300,9489,3577,42,3169.81,75.47,0.89,10319,3.2554
"Tuesday, February 20, 2018",408,10727,4028,59,3911.16,66.29,0.97,12714,3.2507
"Monday, February 19, 2018",408,10425,4128,71,4590.52,64.66,1.11,14843,3.2334
"Sunday, February 18, 2018",425,10862,4150,89,3244.19,36.45,0.78,10493,3.2344
"Saturday, February 17, 2018",461,10905,4119,90,4931.98,54.8,1.2,15952,3.2344
"Friday, February 16, 2018",448,10665,4107,72,5067.71,70.38,1.23,16391,3.2344
"Thursday, February 15, 2018",473,10589,4284,61,6866.64,112.57,1.6,22125,3.2221
"Wednesday, February 14, 2018",430,10914,4210,88,4161.61,47.29,0.99,13658,3.2819
"Tuesday, February 13, 2018",453,11289,4275,88,3815.93,43.36,0.89,12575,3.2954
"Monday, February 12, 2018",355,10632,4154,66,4128.11,62.55,0.99,13605,3.2957
"Sunday, February 11, 2018",385,10198,3996,88,3678.75,41.8,0.92,12063,3.2791
"Saturday, February 10, 2018",455,10548,3921,78,4584.18,58.77,1.17,15032,3.2791
"Friday, February 09, 2018",488,11045,3944,76,6466.41,85.08,1.64,21204,3.2791
